Date,Open,High,Low,Close,Volume
2023-04-25,134.11,164.87,124.53,140.0,3506989
2023-04-26,137.45,164.7,121.43,139.79,6937476
2023-04-27,146.1,165.96,129.25,145.45,5898163
2023-04-28,143.58,150.74,120.64,135.42,4526792
2023-05-01,139.05,158.68,124.62,144.74,6044250
2023-05-02,140.66,168.47,123.55,140.6,5251695
2023-05-03,136.89,150.14,125.61,141.24,3025681
2023-05-04,138.08,160.08,126.25,141.44,7543732
2023-05-05,141.23,152.33,121.66,131.36,9232758
2023-05-08,135.72,164.74,122.61,148.38,5953530
2023-05-09,140.6,163.18,128.8,137.36,9993745
2023-05-10,133.85,161.34,121.18,143.35,7707991
2023-05-11,142.61,157.5,127.56,137.42,4644436
2023-05-12,136.25,168.11,129.48,135.49,1023614
2023-05-15,144.75,158.74,129.13,140.23,9510150
2023-05-16,137.97,167.97,128.14,131.28,1057183
2023-05-17,139.73,167.08,122.74,142.97,7214481
2023-05-18,146.39,157.08,129.35,132.77,2607756
2023-05-19,130.24,163.02,126.55,140.39,1577506
2023-05-22,146.98,167.79,125.65,133.46,8842212
2023-05-23,139.71,163.6,123.09,145.01,1102975
2023-05-24,148.99,166.92,128.57,136.87,7707939
2023-05-25,135.02,156.53,127.42,142.02,8141487
2023-05-26,135.31,164.29,123.5,137.1,5677616
2023-05-29,131.43,168.6,122.34,149.73,9349032
2023-05-30,148.6,157.33,125.03,140.97,6854649
2023-05-31,145.63,159.85,122.41,134.53,5539585
2023-06-01,137.16,156.79,123.9,134.42,2580020
2023-06-02,138.67,163.35,123.18,144.89,8698729
2023-06-05,149.55,165.8,126.77,137.06,5597840
2023-06-06,149.02,163.28,120.03,140.68,5927297
2023-06-07,136.61,167.85,120.01,134.65,8000663
2023-06-08,135.85,151.52,120.49,146.65,5666634
2023-06-09,134.32,162.65,123.93,141.45,6629887
2023-06-12,144.74,160.19,126.16,142.68,3916911
2023-06-13,138.89,157.6,129.23,131.3,9677063
2023-06-14,146.88,163.16,124.71,141.63,6387274
2023-06-15,140.0,150.13,124.11,132.82,3667779
2023-06-16,132.73,160.25,129.49,143.64,9549456
2023-06-19,131.82,167.69,127.0,142.15,7828508
2023-06-20,137.84,155.16,121.1,139.18,9112369
2023-06-21,133.54,160.77,125.79,144.06,1593123
2023-06-22,148.19,165.07,120.72,141.75,6726048
2023-06-23,137.08,154.61,128.31,146.02,6168728
2023-06-26,145.27,165.05,123.23,134.62,5049668
2023-06-27,137.49,165.51,127.44,149.2,1312122
2023-06-28,143.35,168.45,129.36,134.04,8156325
2023-06-29,143.6,167.38,123.87,136.84,9777971
2023-06-30,141.2,160.78,126.9,130.77,9832968
2023-07-03,145.28,159.62,126.34,146.59,7218010
2023-07-04,132.02,168.38,121.33,143.98,4402486
2023-07-05,142.72,155.27,127.37,135.33,1033810
2023-07-06,145.29,154.31,125.55,138.7,7330774
2023-07-07,132.71,163.46,129.95,149.29,4234760
2023-07-10,135.21,162.41,123.02,145.21,9453542
2023-07-11,148.98,169.13,121.42,139.67,8718912
2023-07-12,142.03,169.61,122.64,149.98,1456279
2023-07-13,132.84,153.38,123.91,139.9,5974896
2023-07-14,148.63,168.73,125.25,135.93,6063265
2023-07-17,145.44,165.71,124.67,145.26,2811422
2023-07-18,138.88,154.6,127.14,132.81,9496327
2023-07-19,130.64,151.55,123.67,149.58,2548362
2023-07-20,137.06,151.62,120.59,139.09,4773952
2023-07-21,137.46,168.52,125.55,146.44,6998788
2023-07-24,132.34,152.86,128.65,140.69,3842176
2023-07-25,140.54,150.87,129.39,141.25,6076431
2023-07-26,134.44,163.45,120.94,133.5,5062086
2023-07-27,146.24,158.24,121.18,135.72,2294640
2023-07-28,131.11,153.34,120.95,144.04,7216847
2023-07-31,141.7,156.61,123.12,132.93,5836483
2023-08-01,136.27,150.04,127.31,144.83,9091511
2023-08-02,132.34,155.77,128.48,132.43,8308360
2023-08-03,140.43,158.13,126.59,131.52,7921264
2023-08-04,147.65,151.35,123.97,140.89,9614078
2023-08-07,145.8,160.41,127.77,149.73,4415840
2023-08-08,145.34,162.48,129.9,137.54,4653587
2023-08-09,132.79,166.78,125.94,142.48,6029415
2023-08-10,146.01,165.87,128.55,139.72,8105997
2023-08-11,148.0,168.93,121.15,146.36,2360007
2023-08-14,147.71,153.63,122.58,143.36,7125264
2023-08-15,132.9,152.16,121.0,149.24,4082965
2023-08-16,137.84,159.15,122.92,145.26,7407096
2023-08-17,132.83,160.42,128.69,146.78,6629572
2023-08-18,144.08,153.03,123.4,133.34,4832310
2023-08-21,130.64,168.09,127.28,134.98,8696667
2023-08-22,148.33,162.52,124.98,149.0,4267625
2023-08-23,131.88,158.49,123.36,142.81,4772594
2023-08-24,137.56,158.39,127.31,131.59,1204225
2023-08-25,130.92,161.96,127.15,132.63,2519268
2023-08-28,144.75,168.68,120.13,132.97,6985831
2023-08-29,142.76,161.23,122.91,149.88,8959335
2023-08-30,134.27,163.45,126.76,130.6,3246756
2023-08-31,140.15,150.32,125.79,131.48,4411113
2023-09-01,141.9,166.56,126.61,143.06,9208088
2023-09-04,138.01,155.7,126.69,148.76,8976117
2023-09-05,136.08,152.38,129.46,135.46,5249500
2023-09-06,140.82,169.65,123.34,146.97,5659954
2023-09-07,134.3,157.34,125.73,133.27,1873700
2023-09-08,141.13,162.12,126.95,139.67,1542241
2023-09-11,146.41,162.42,121.34,144.18,6747144
2023-09-12,131.39,151.96,120.6,134.22,5582595
2023-09-13,147.47,163.05,128.24,148.54,5287395
2023-09-14,141.2,155.72,120.53,142.86,7765098
2023-09-15,138.81,151.46,127.04,148.9,6989362
2023-09-18,145.32,157.09,124.4,148.83,5845093
2023-09-19,133.6,165.89,127.85,144.0,4364818
2023-09-20,139.29,153.34,124.07,133.19,5536269
2023-09-21,134.32,160.06,125.35,135.48,5916008
2023-09-22,143.57,167.75,121.03,134.43,6146329
2023-09-25,138.02,164.84,124.22,133.74,4243661
2023-09-26,132.17,164.27,127.3,132.09,9714426
2023-09-27,146.11,158.88,126.02,147.0,9077875
2023-09-28,140.01,160.49,122.17,140.77,4343397
2023-09-29,133.61,155.98,121.01,144.71,9165861
